	I 	Br 	Cl 	S 	P 	Si 	F 	O 	N 	C 	H
H 	161 	142 	127 	132 	138 	145 	92 	94 	98 	110 	74
C 	210 	191 	176 	181 	187 	194 	141 	143 	147 	154 	
N 	203 	184 	169 	174 	180 	187 	134 	136 	140 		
O 	199 	180 	165 	170 	176 	183 	130 	132 			
F 	197 	178 	163 	168 	174 	181 	128 				
Si 	250 	231 	216 	221 	227 	234 					
P 	243 	224 	209 	214 	220 						
S 	237 	218 	203 	208 							
Cl 	232 	213 	200 								
Br 	247 	228 									
I 	266 		
#http://s-owl.cengage.com/ebooks/vining_owlbook_prototype/ebook/ch8/Sect8-3-a.html							
